fragment,data,control,exception
https://github.com/albfernandez/itext2/blob/5ac684e2140a3d9a5b4c34dfd2639dcc87884ad0/src/main/java/com/lowagie/text/xml/simpleparser/SimpleXMLParser.java#L376C2-L383C38,12,0,0
https://github.com/jai-imageio/jai-imageio-core/blob/f81bc1ab19faa210ad289c6ae2588bc1157fd07a/src/main/java/com/github/jaiimageio/impl/plugins/pnm/PNMImageWriter.java#L443C14-L454C18,5,0,0
https://github.com/Harium/keel/blob/bb6a1cf5104d609399ddf9a803ae60d6caee7a3b/src/main/java/com/harium/keel/catalano/math/decomposition/SingularValueDecomposition.java#L180C1-L188C18,17,0,0
https://github.com/Harium/keel/blob/bb6a1cf5104d609399ddf9a803ae60d6caee7a3b/src/main/java/com/harium/keel/catalano/math/decomposition/SingularValueDecomposition.java#L241C1-L256C22,24,0,0
https://github.com/Zettelkasten-Team/Zettelkasten/blob/b68dc7638b9f9287c9528d4171a9014e8ba3eed3/src/main/java/de/danielluedecke/zettelkasten/tasks/importtasks/ImportFromZkn.java#L621-L638,1,0,0
https://github.com/Zettelkasten-Team/Zettelkasten/blob/b68dc7638b9f9287c9528d4171a9014e8ba3eed3/src/main/java/de/danielluedecke/zettelkasten/tasks/importtasks/ImportFromZkn.java#L770C10-L806C11,26,0,0
https://github.com/jai-imageio/jai-imageio-core/blob/f81bc1ab19faa210ad289c6ae2588bc1157fd07a/src/main/java/com/github/jaiimageio/impl/plugins/bmp/BMPImageWriter.java#L679-L684,4,0,0
https://github.com/blackbeard334/djoom3/blob/64362645420c99ac621b051a678de96883e2a329/src/main/java/neo/ui/Window.java#L1599-L1604,3,0,0
https://github.com/blackbeard334/djoom3/blob/64362645420c99ac621b051a678de96883e2a329/src/main/java/neo/ui/Window.java#L1660C1-L1666C38,4,0,0
https://github.com/OWASP/json-sanitizer/blob/fc612ab374de73d03864d56fb87b6a103b234489/src/main/java/com/google/json/JsonSanitizer.java#L342C2-L350C20,9,0,0
https://github.com/OWASP/json-sanitizer/blob/fc612ab374de73d03864d56fb87b6a103b234489/src/main/java/com/google/json/JsonSanitizer.java#L353C1-L362C20,5,0,0
https://github.com/loehndorf/scengen/blob/5e11067f76f5631a31b75f823cd3666a769b098f/src/main/java/scengen/application/Generator.java#L186C3-L195C6,2,0,6
https://github.com/meteoinfo/wContour/blob/dade1e866bf3d3eab56bd09f2b1dcdac5c1ee6f6/src/main/java/wcontour/Contour.java#L3109C1-L3123C26,12,0,0
https://github.com/tud-fop/j-Algo/blob/f59fbbd9ccc3f41d6866fda44324622e2b47eef2/src/main/java/c00/parser/C00Parser.java#L2611C9-L2627C10,5,0,1
https://github.com/sbesada/java.math.expression.parser/blob/cc92f58f6074b21cf6f5d4056b7f7cc5168f50af/src/main/java/com/expression/parser/function/ComplexFunction.java#L102C2-L107C18,6,0,0
https://github.com/albfernandez/itext2/blob/5ac684e2140a3d9a5b4c34dfd2639dcc87884ad0/src/main/java/com/lowagie/text/pdf/codec/TiffImage.java#L494-L502,18,0,0
https://github.com/StarlangSoftware/Corpus/blob/c0b50a746e5179df1b236273bcf1ec6d1cc988c7/src/main/java/Corpus/SentenceSplitter.java#L319C24-L362C26,14,0,0
https://github.com/attoparser/attoparser/blob/e1049dcd8261fe315b679029e711a9f5ea03f1cc/src/main/java/org/attoparser/select/MarkupSelectorItems.java#L249C1-L255C14,2,0,2
https://github.com/attoparser/attoparser/blob/e1049dcd8261fe315b679029e711a9f5ea03f1cc/src/main/java/org/attoparser/select/MarkupSelectorItems.java#L407C1-L417C22,6,0,0
https://github.com/tommyettinger/RegExodus/blob/48a8167a5dc1e381fc741fabd425965a22aa1503/src/main/java/regexodus/Term.java#L1618C1-L1626C18,3,0,0
https://github.com/tommyettinger/RegExodus/blob/48a8167a5dc1e381fc741fabd425965a22aa1503/src/main/java/regexodus/Term.java#L521C1-L539C30,10,0,1
https://github.com/mvel/mvel/blob/236d37bc78a158553592afedbbf1aa27815efb78/src/main/java/org/mvel2/optimizers/impl/asm/ASMAccessorOptimizer.java#L1212C1-L1220C12,0,0,3
https://github.com/Isaac315/sql-translator/blob/78f3fb0091c94563a640ef672de3e75e2b5c3bb2/src/main/java/com/raysonfang/sqltranslator/sql/dialect/oracle/util/OracleSQLDataTypeTransformUtil.java#L209C1-L216C70,1,0,1
https://github.com/narupley/not-going-to-be-commons-ssl/blob/346bb4e8481316687a643219800a398ecd8f62a8/src/main/java/org/apache/commons/ssl/PKCS8Key.java#L659C1-L695C18,4,0,2
https://github.com/meteoinfo/wContour/blob/dade1e866bf3d3eab56bd09f2b1dcdac5c1ee6f6/src/main/java/wcontour/Contour.java#L4177C1-L4190C38,20,0,0
https://github.com/rythmengine/rythmengine/blob/3439bd728c8e95927cea9146b5d6b59a30c3c516/src/main/java/org/rythmengine/utils/Time.java#L600C1-L610C30,0,0,7
https://github.com/albfernandez/itext2/blob/5ac684e2140a3d9a5b4c34dfd2639dcc87884ad0/src/main/java/com/lowagie/text/html/simpleparser/HTMLWorker.java#L285C1-L290C10,2,0,1
https://github.com/demidenko05/beigesoft-accounting/blob/0170596e736d3cc69f70c88ced3b9d78f63ddca1/src/main/java/org/beigesoft/accounting/report/InvoiceReportPdf.java#L142C6-L148C8,3,0,0
https://github.com/adobe/commerce-cif-magento-graphql/blob/0bc22bb767a8270f94ee04d85ab2571569a146a1/src/main/java/com/adobe/cq/commerce/magento/graphql/ProductFilterInput.java#L1411C1-L1416C22,2,0,0
https://github.com/maven-nar/nar-maven-plugin/blob/e747b5ee080b243e0b817f722a43c9c203bb4df8/src/main/java/com/github/maven_nar/NarCompileMojo.java#L352C1-L362C12,8,0,0
https://github.com/albfernandez/itext2/blob/5ac684e2140a3d9a5b4c34dfd2639dcc87884ad0/src/main/java/com/lowagie/text/pdf/codec/BmpImage.java#L401C1-L415C65,14,0,0
