hash,dev-tests-cov,evosuite-cov,randoop-reg-cov,randoop-all-cov,combined-cov
a5e29e2e261b4b128b12c21ecaac8421,0,0,0,0,0
a6055cb51c0c87441c1cc5140b058c76,0,.6250,NO_INFO,NO_INFO,.6250
a67f218ba30706d56ddd640b222b8d46,.5000,.5000,0,0,.5000
a6c36d265f509cbaf7753eda2874bd5f,.7000,0,0,0,.7000
a6c7411a615e6dcf175612812be3ba8d,,NO_INFO,NO_INFO,NO_INFO,
a81b8e17a58c1dc86b363d73678c64e2,.4000,.8000,0,0,.8000
a8cf34cc1da11a4058d5262622c09994,NO_INFO,NO_INFO,NO_INFO,NO_INFO,NO_INFO
a927826da1b9d3b0fd02f426733a8245,0,NO_INFO,NO_INFO,NO_INFO,0
ab9d9b231f13416ccec19577572bbca7,NO_INFO,NO_INFO,NO_INFO,NO_INFO,NO_INFO
ac0b69f28f25d73b86b463d3466f4edd,,,NO_INFO,NO_INFO,
ad1a1c5ffafa208c4423f2570bfd4fd3,NO_INFO,NO_INFO,NO_INFO,NO_INFO,NO_INFO
ad934a6d3ff8d373b18fce05c1b85beb,.6250,1.0000,.5000,.5000,1.0000
af921547b419894659b598b8ec2af5bb,0,0,NO_INFO,NO_INFO,0
b27f7ffe7f16993b79325247ec1d10b8,.4285,0,NO_INFO,0,.4285
b2b94b3a6007a0598c9dd5293ab63650,0,0,0,0,0
b4310c49a82484c22d997d8fd8402194,0,NO_INFO,NO_INFO,NO_INFO,0
b465b2a4652dd37c8742dd8ab088d703,0,0,0,0,0
b50eb2b11d614020a922bb2f901b511b,NO_INFO,NO_INFO,NO_INFO,NO_INFO,NO_INFO
b595e787fca192db4c7dfd4b0d123b35,.7500,.3750,NO_INFO,NO_INFO,1.0000
b6d9f1474fe0942d3ccfc63ebee7e519,.2500,1.0000,0,0,1.0000
bacaf3b933509c10c7e646c35daae8f9,NO_INFO,NO_INFO,NO_INFO,NO_INFO,NO_INFO
bba3b523a8a48d9ca7a1b1e57f2d1f01,0,NO_INFO,NO_INFO,NO_INFO,0
bbe26e1a3846936e33dd2d41167b9445,.2222,0,NO_INFO,NO_INFO,.2222
bedd9a27da314f07d0f78d7e99f11675,1.0000,1.0000,NO_INFO,NO_INFO,1.0000
c0febc7b89d5353f1786da6806c5a841,NO_INFO,NO_INFO,NO_INFO,NO_INFO,NO_INFO
c6d0e4247812a4cef2e0cc6dec05da7c,.7272,0,NO_INFO,NO_INFO,.7272
c7de6ed96d2f9ffe455656cfb8540411,0,0,0,0,0
c8f88f8e81a5c6477434b0fa5e742d63,0,NO_INFO,NO_INFO,NO_INFO,0
cb65eb3a5933ab7adc5b95cbcbdddc6f,NO_INFO,NO_INFO,NO_INFO,NO_INFO,NO_INFO
cd039b3e1cc258bba4c0595c854e86c5,NO_INFO,NO_INFO,NO_INFO,NO_INFO,NO_INFO
cfe30caef76cfd09963e05702c186958,0,1.0000,0,0,1.0000
d095ef0647c6f87b5971ce00bad3220f,0,0,0,0,0
d0c725ad86c11655829e5e183a017958,0,0,NO_INFO,NO_INFO,0
d286194cd46a389b72956b60ce4c8358,0,0,NO_INFO,NO_INFO,0
d45a27a1eda3062e744a8959ee99dbec,NO_INFO,NO_INFO,NO_INFO,NO_INFO,NO_INFO
d49eff8fca15bafd7ad3ed025705e7b3,0,.6250,NO_INFO,NO_INFO,.6250
d6edd1b826a6f505ff15e5ba11908011,0,0,NO_INFO,0,0
dacb07ea55c299d7345117748027805a,0,NO_INFO,NO_INFO,0,0
db94833ffc5c9eb866083202fa35a3c0,0,1.0000,NO_INFO,NO_INFO,1.0000
dd3c4e1ae7c1175f1d075b5e59445a64,0,0,NO_INFO,0,0
de0f702418c4482333fe1bc0b0e18954,0,1.0000,NO_INFO,NO_INFO,1.0000
de57c268a29f6a1ee9bb392226a779ae,0,0,0,0,0
e0d48cd7af3191114ad623c149d7bd5f,0,0,0,0,0
e34397ab1d3efeb9dc7886c9d7296df5,1.0000,.6000,0,0,1.0000
e3a26af026c0f9bc08e242c81dddaec2,NO_INFO,NO_INFO,NO_INFO,NO_INFO,NO_INFO
e4fa15ebe6c42da03f6b4c80aafc3d34,0,0,NO_INFO,NO_INFO,0
e525bb934c86f182b5f12fc24fcbb30a,NO_INFO,NO_INFO,NO_INFO,NO_INFO,NO_INFO
e66c25396256aa773dd450501de3e7df,0,0,NO_INFO,NO_INFO,0
e8b70836b9b251a2e04e48055672bc7f,0,1.0000,NO_INFO,NO_INFO,1.0000
e8b8c143f46aed0a9de0ee5715b14246,NO_INFO,NO_INFO,NO_INFO,NO_INFO,NO_INFO
e9649e7abe1bbc829f98c00eb27c35a9,0,0,NO_INFO,NO_INFO,0
e9fc8a98181f18253cc044a0861fc0eb,0,.8461,0,0,.8461
ebd5bd3c7cf48fe230a33cd838515e9d,0,.0666,NO_INFO,0,.0666
ec08db4dd96b9089b6a8d3d640943ddf,.7600,0,NO_INFO,NO_INFO,.7600
ec464ac26fda840307d4164fa92627ec,NO_INFO,NO_INFO,NO_INFO,NO_INFO,NO_INFO
eca497b501f9a57974ac87a7378cd214,0,1.0000,NO_INFO,0,1.0000
