file,generation time,test time,blocktest count,actual test count,USEABLE,total_time
ripreal-V8LogScanner-3789156a0ab07c4b2cdd91e8165ca733ecc01905-CmdAddGroupBy,1457,1783,1,1,TRUE,3.24
sbesada-java.math.expression.parser-cc92f58f6074b21cf6f5d4056b7f7cc5168f50af-ComplexFunction,1485,1305,1,1,TRUE,2.79
smola-galimatias-0771a10ef5021181fc172b95ac39e9f4c7ada2e8-URLParser,1572,1435,7,2,TRUE,3.007
SoftEngResearch-imop-fc59fb1ef0b8478e795bb6dc29bef66a3a255d43-DynamicDepsBuilder,1491,1799,7,7,TRUE,3.29
SoftEngResearch-imop-fc59fb1ef0b8478e795bb6dc29bef66a3a255d43-IncrementalJarCleaner,1507,1812,12,12,TRUE,3.319
SoftEngResearch-imop-fc59fb1ef0b8478e795bb6dc29bef66a3a255d43-JDeps,1922,2267,4,4,TRUE,4.189
spullara-java-future-jdk8-5925719802af19ccc6602651fc243b2ff3726b4b-CompletableFutureTest,1537,1309,3,3,TRUE,2.846
sranka-jdbcimage-4b16de3a349a30e5d69633a0fea6e08d486392b9-MainToolBase,1489,1761,1,1,TRUE,3.25
StarlangSoftware-Corpus-c0b50a746e5179df1b236273bcf1ec6d1cc988c7-SentenceSplitter,2023,1793,14,14,TRUE,3.816
StarlangSoftware-TurkishMorphologicalAnalysis-26450b47db92b64580a2bfa4a0d7d0bce38edd49-Transition,1595,1389,8,8,TRUE,2.984
StarlangSoftware-TurkishMorphologicalDisambiguation-bf8dbc2cd835c67178eb896939ad1009b6743486-AutoDisambiguator,1517,6230,3,3,TRUE,7.747
STEMLab-JIneditor-ccca7bec12fe58583d25da0d13ae038b27d34424-CanvasPanel,1959,1734,6,6,TRUE,3.693
streamx-co-ExTree-2cb6b78c0eb4dc25fa81f582641b5464779a93fa-ExpressionMethodVisitor,1584,3406,3,3,TRUE,4.99
streamx-co-FluentJPA-064ce0b468b63fa07aecb0cfc2d352108af1cb40-DSLInterpreter,1655,6562,10,10,TRUE,8.217
tommyettinger-RegExodus-48a8167a5dc1e381fc741fabd425965a22aa1503-CharacterClass,1591,1580,15,15,TRUE,3.171
tommyettinger-RegExodus-48a8167a5dc1e381fc741fabd425965a22aa1503-Matcher,1724,1584,2,2,TRUE,3.308
tommyettinger-RegExodus-48a8167a5dc1e381fc741fabd425965a22aa1503-Term,1739,1573,13,13,TRUE,3.312
tud-fop-j-Algo-f59fbbd9ccc3f41d6866fda44324622e2b47eef2-C00Lexer,1627,4866,2,2,TRUE,6.493
tud-fop-j-Algo-f59fbbd9ccc3f41d6866fda44324622e2b47eef2-C00Parser,3216,4873,7,7,TRUE,8.089
tvesalainen-bcc-8bfbb307418a422d57370b2df12fdfb1126f3407-ByteCodeDump,1504,1535,1,1,TRUE,3.039
vangj-jbayes-4f3a542a4cab356b2b4a3d5d735ae0346429ef2d-Evidence,1449,1419,3,3,TRUE,2.868
vincentrussell-java-ini-parser-954dd3836aa39dd170202f95e356da1eb86c894d-Ini,1470,1370,1,1,TRUE,2.84
vizor-games-infraworld-cornerstone-2f8c792393fd8bbfc09d5bfdd36114230f64aa5c-CastGenerator,1487,1537,2,2,TRUE,3.024
vmzakharov-dataframe-ec-b5cef516c1f02207399f751ba922f9e5347f8f3c-DoubleFormatter,1455,1916,3,3,TRUE,3.371
vmzakharov-dataframe-ec-b5cef516c1f02207399f751ba922f9e5347f8f3c-LongFormatter,1446,1938,3,3,TRUE,3.384
wso2-config-mapper-353b0829d3bf3dae92312dea6ff1dddff9a74fe6-KeyMapper,1481,2598,1,1,TRUE,4.079
wso2-config-mapper-353b0829d3bf3dae92312dea6ff1dddff9a74fe6-Validator,1445,2595,3,3,TRUE,4.04
xcsp3team-XCSP3-Java-Tools-1567b06e77cb2a8b73a1ce65e4773cbf08f59ce0-ProblemDataHandler,1499,1425,6,6,TRUE,2.924
xcsp3team-XCSP3-Java-Tools-1567b06e77cb2a8b73a1ce65e4773cbf08f59ce0-XParser,1652,1463,2,2,TRUE,3.115
ysc-word-daa57fa34645e39c6e0214d1f4698134963b65be-ChineseWordTokenizer,1887,2452,4,4,TRUE,4.339
Zettelkasten-Team-Zettelkasten-b68dc7638b9f9287c9528d4171a9014e8ba3eed3-ImportFromZkn,1835,2715,14,14,TRUE,4.55
